,time,type,price
0,2017-06-19 19:04:13,BUY,2568.0
0,2017-06-19 19:05:56,CLOSE,2571.02
0,2017-06-19 19:06:33,SELL,2572.11
0,2017-06-19 19:16:59,CLOSE,2572.95
0,2017-06-19 19:17:29,BUY,2569.89
0,2017-06-19 19:19:20,CLOSE,2574.81
0,2017-06-19 19:19:57,SELL,2575.98
0,2017-06-19 19:26:25,CLOSE,2577.79
0,2017-06-19 19:26:30,BUY,2576.98
0,2017-06-19 19:30:58,CLOSE,2579.01
0,2017-06-19 19:31:45,BUY,2574.9
0,2017-06-19 19:32:17,CLOSE,2579.06
0,2017-06-19 19:47:35,SELL,2579.99
0,2017-06-19 19:49:06,CLOSE,2579.94
0,2017-06-19 19:49:37,BUY,2574.3
0,2017-06-19 19:55:19,CLOSE,2578.0
0,2017-06-19 19:56:24,SELL,2579.39
0,2017-06-19 20:02:45,CLOSE,2583.5
0,2017-06-19 20:03:16,BUY,2580.0
0,2017-06-19 20:03:46,CLOSE,2585.22
0,2017-06-19 20:05:56,SELL,2584.97
0,2017-06-19 20:06:16,CLOSE,2582.0
0,2017-06-19 20:07:15,SELL,2584.51
0,2017-06-19 20:12:33,CLOSE,2588.08
0,2017-06-19 20:14:44,SELL,2592.45
0,2017-06-19 20:16:48,CLOSE,2589.0
0,2017-06-19 20:16:54,BUY,2585.0
0,2017-06-19 20:19:31,CLOSE,2590.97
0,2017-06-19 20:25:18,SELL,2591.82
0,2017-06-19 20:35:17,CLOSE,2590.13
0,2017-06-19 20:41:56,SELL,2591.08
0,2017-06-19 20:44:42,CLOSE,2590.7
0,2017-06-19 20:48:00,SELL,2596.63
0,2017-06-19 20:49:25,CLOSE,2594.67
0,2017-06-19 20:49:30,BUY,2594.72
0,2017-06-19 20:50:54,CLOSE,2597.0
0,2017-06-19 20:56:00,SELL,2594.98
0,2017-06-19 21:06:44,CLOSE,2597.98
0,2017-06-19 21:11:52,SELL,2601.14
0,2017-06-19 21:15:17,CLOSE,2607.5
0,2017-06-19 21:19:50,SELL,2609.58
0,2017-06-19 21:23:42,CLOSE,2612.01
0,2017-06-19 21:24:18,BUY,2612.0
0,2017-06-19 21:24:19,CLOSE,2613.13
0,2017-06-19 21:25:22,BUY,2611.59
0,2017-06-19 21:28:39,CLOSE,2613.5
0,2017-06-19 21:28:47,SELL,2613.8
0,2017-06-19 21:30:25,CLOSE,2617.31
0,2017-06-19 21:31:04,BUY,2615.48
0,2017-06-19 21:33:16,CLOSE,2619.92
0,2017-06-19 21:36:05,SELL,2622.37
0,2017-06-19 21:37:30,CLOSE,2621.23
0,2017-06-19 21:37:31,BUY,2619.83
0,2017-06-19 21:42:01,CLOSE,2619.97
0,2017-06-19 21:42:48,BUY,2619.33
0,2017-06-19 21:44:23,CLOSE,2619.99
0,2017-06-19 21:44:50,BUY,2611.53
0,2017-06-19 21:48:05,CLOSE,2617.99
0,2017-06-19 21:49:57,BUY,2612.54
0,2017-06-19 21:50:45,CLOSE,2615.63
0,2017-06-19 21:51:41,BUY,2611.56
0,2017-06-19 21:53:00,CLOSE,2609.73
0,2017-06-19 21:54:45,BUY,2600.0
0,2017-06-19 21:57:31,CLOSE,2603.75
0,2017-06-19 21:57:32,SELL,2605.29
0,2017-06-19 22:00:56,CLOSE,2606.09
0,2017-06-19 22:03:50,BUY,2604.27
0,2017-06-19 22:04:27,CLOSE,2606.01
0,2017-06-19 22:05:11,BUY,2604.85
0,2017-06-19 22:06:43,CLOSE,2604.78
0,2017-06-19 22:07:39,BUY,2603.21
0,2017-06-19 22:15:51,CLOSE,2599.92
0,2017-06-19 22:20:57,SELL,2600.5
0,2017-06-19 22:33:51,CLOSE,2610.35
0,2017-06-19 22:38:01,BUY,2609.6
0,2017-06-19 22:39:56,CLOSE,2610.9
0,2017-06-19 22:40:35,SELL,2614.1
0,2017-06-19 22:41:45,CLOSE,2609.68
0,2017-06-19 22:42:09,SELL,2614.51
0,2017-06-19 22:42:57,CLOSE,2610.38
0,2017-06-19 22:50:35,SELL,2614.0
0,2017-06-19 22:56:26,CLOSE,2618.0
0,2017-06-19 22:56:27,BUY,2617.18
0,2017-06-19 22:58:57,CLOSE,2617.99
0,2017-06-19 22:58:59,BUY,2614.0
0,2017-06-19 23:00:01,CLOSE,2618.0
0,2017-06-19 23:01:22,BUY,2612.71
0,2017-06-19 23:03:46,CLOSE,2617.83
0,2017-06-19 23:03:47,SELL,2617.78
0,2017-06-19 23:04:13,CLOSE,2612.62
0,2017-06-19 23:04:25,BUY,2613.96
0,2017-06-19 23:08:28,CLOSE,2618.0
0,2017-06-19 23:08:35,BUY,2612.61
0,2017-06-19 23:08:59,CLOSE,2616.51
